Char    ,Pinyin   ,Meaning                                                 ,Tag              ,Related,HSK Level,Lesson,Lesson Number
不      ,bù       ,"not, no"                                               ,Adverb           ,       ,         ,      ,
也      ,yě       ,"too, also"                                             ,Adverb           ,       ,         ,      ,
什么    ,shénme   ,what                                                    ,Question-pronoun ,       ,         ,      ,
他      ,tā       ,"he, him"                                               ,Pronoun          ,       ,         ,      ,
你      ,nǐ       ,you                                                     ,Pronoun          ,       ,         ,      ,
叫      ,jiào     ,to be called                                            ,Verb             ,       ,         ,      ,
名字    ,míngzi   ,name                                                    ,Noun             ,       ,         ,      ,
吗      ,ma       ,(a particle used for question expecting a yes/no answer),Question-particle,       ,         ,      ,
呢      ,ne       ,(a modal particle used for elliptical questions)        ,Question-particle,       ,         ,      ,
困      ,kùn      ,sleepy                                                  ,Adjective        ,       ,         ,      ,
在      ,zài      ,"to be (here, there), to be (in, on, at)"               ,Verb             ,       ,         ,      ,
坐      ,zuò      ,to sit                                                  ,Verb             ,       ,         ,      ,
太      ,tài      ,"too, extremely"                                        ,Adverb           ,       ,         ,      ,
她      ,tā       ,"she, her"                                              ,Pronoun          ,       ,         ,      ,
好      ,hǎo      ,"good, well, fine"                                      ,Adjective        ,       ,         ,      ,
很      ,hěn      ,very                                                    ,Adverb           ,       ,         ,      ,
忙      ,máng     ,busy                                                    ,Adjective        ,       ,         ,      ,
怎么样  ,zěnmeyàng,"how (is, are), how about..."                           ,Question-pronoun ,       ,         ,      ,
性      ,xìng     ,one's surname is ... / surname                          ,Noun Verb        ,       ,         ,      ,
我      ,wǒ       ,"i, me"                                                 ,Pronoun          ,       ,         ,      ,
最近    ,zuìjìn   ,"recently, lately"                                      ,Adverb           ,       ,         ,      ,
渴      ,kě       ,thirsty                                                 ,Adjective        ,       ,         ,      ,
累      ,lèi      ,tired                                                   ,Adjective        ,       ,         ,      ,
认识    ,rènshi   ,to know (somebody)                                      ,Verb             ,       ,         ,      ,
请      ,qǐng     ,please                                                  ,Verb             ,       ,         ,      ,
请问    ,qǐngwèn  ,May I ask ... ?                                         ,Verb             ,       ,         ,      ,
谢谢    ,xièxie   ,to thank                                                ,Verb             ,       ,         ,      ,
还行    ,hái xíng ,not bad                                                 ,Adjective        ,       ,         ,      ,
进      ,jìn      ,to enter                                                ,Verb             ,       ,         ,      ,
问      ,wèn      ,to ask                                                  ,Verb             ,       ,         ,      ,
饿      ,è        ,hungry                                                  ,Adjective        ,       ,         ,      ,
马马虎虎,mǎmǎhūhū ,"so-so, passable"                                       ,Adjective        ,       ,         ,      ,
高兴    ,gāoxìng  ,"happy, pleased"                                        ,Adjective        ,       ,         ,      ,
